investment,instrument,opening_price,closing_price,Unnamed: 4,shares
6000,MSFT1,243.08,376.04,,24.683231857824584
6000,VTI1,192.38,237.22,,31.188273209273316
6000,BTC1,16547.91,42265.19,,0.3625835528474593
6000,KO1,63.56,58.27,,94.39899307740717
6000,TLT1,102.2,91.31,,58.708414872798436
80000,MSFT2,243.08,376.04,,329.1097581043278
80000,VTI2,192.38,237.22,,415.84364279031087
80000,BTC2,16547.91,42265.19,,4.834447371299457
80000,KO2,63.56,58.27,,1258.6532410320956
80000,TLT2,102.2,91.31,,782.7788649706458
200000,MSFT3,243.08,376.04,,822.7743952608195
200000,VTI3,192.38,237.22,,1039.6091069757772
200000,BTC3,16547.91,42265.19,,12.086118428248643
200000,KO3,63.56,58.27,,3146.633102580239
200000,TLT3,102.2,91.31,,1956.9471624266143
